dataset,ranker,slice,auc,mrr,ndcg5,ndcg10,novelty,coverage,ild
MIND,bm25,all,0.522878,0.291122,0.267183,0.328478,15.638278,0.034872,0.879168
MIND,bm25,cold,0.515573,0.316221,0.309079,0.367656,15.558885,0.020203,0.89359
MIND,bm25,warm,0.524465,0.28567,0.258083,0.319968,15.652521,0.032573,0.876095
EBNERD_DEMO,bm25,all,0.488869,0.311108,0.339828,0.427086,14.054756,0.152586,0.805052
EBNERD_DEMO,bm25,cold,0.440873,0.224946,0.247226,0.341097,14.060117,0.025813,0.708161
EBNERD_DEMO,bm25,warm,0.489098,0.311517,0.340268,0.427495,14.054751,0.152161,0.805514
